,CURB65评分,重度肺炎,性别,年龄,共存基础病数量,吸烟史,饮酒史,高血压病,糖尿病,脑梗死,冠心病,体温＞37℃,呼吸频率＞20次/分,心率＞100次/分,收缩压＜90mmHg,纵隔淋巴结肿大,胸膜增厚,胸腔积液,心包积液,炎症累及肺炎数≥3,炎症累计双肺,WBC,PLT,HGB,MONO,NEUT,PLR,NLR,RDW,FIB,DDimer,AG,ALB,hsCRP,PCT,Cr,BUN,UA,GFR,Cysc
炎症累及肺炎数≥3,0.295101664049835,0.4700466381647041,-0.013519452069843205,0.07478821152263684,0.15448195247921176,0.03770038857158672,0.030089420916613156,0.060551603577297254,0.09752958291536012,0.04833878127600002,0.0879553755375879,0.057528785286574895,0.06768332218445783,0.06773025737500504,0.1175290727550622,0.11697157443893663,-0.02545335200008831,0.09488564870808422,0.03678426805982634,1.0,0.17507337625701766,0.17491877045800183,-0.07123549925467691,-0.039053200236686625,0.06755273324157587,0.2552228650741928,0.2649688101259484,0.34408105774972064,0.25937254695762335,0.06900521711075847,0.25590839230336765,-0.18261513537391066,-0.1801594661179852,0.4300907290218089,0.422428936502396,-0.021774186183721022,0.04043845566072258,0.031106094418843093,-0.03779366514711385,0.01389412967514248
炎症累计双肺,0.08655239807323371,0.04868044889749448,-0.01867185481836726,0.08263205129145484,0.009523259916695084,-0.014519921931816816,-0.026836456077519586,0.012240353823907202,-0.12114114901496492,0.05351512263457886,0.1196032113432738,0.02867912653383822,0.06843408408284826,0.021375717244757824,0.005895435843805092,0.055744592632090334,0.1341991341991342,-0.025688697835712933,0.08638752833650681,0.17507337625701766,1.0,0.0466292758399351,-0.0019257744050693731,-0.015686792008812817,0.0002751035157247698,0.08204796744494865,0.09862242229589185,0.14236293459318625,0.08234023629976239,-0.032393838865903225,0.0925058719384608,-0.020979005488521885,-0.11251831397998295,0.133423001665891,0.08830906824967771,0.09119558321264384,0.07881742021891468,0.07283293895068038,-0.11760484998266746,0.10790886801323742
WBC,0.18273779546304128,0.31937920420947213,0.014207452414679692,0.045182352200213466,0.09372902665210604,0.029219150145634015,0.04299326281016533,-0.05681070791848112,0.08269084540775797,0.10392875469605312,0.04848155579962227,0.0662948643675817,0.12068831761137239,0.2769140542949227,0.1485858309396046,0.10491101082044275,-0.06602375340167801,0.03177859051839758,0.007615511448704164,0.17491877045800183,0.0466292758399351,1.0,0.30783134567629034,-0.03257958158568768,0.41696828263525804,0.7991396175657371,0.19128983377201056,0.5261881698295191,0.1411259445197694,0.2857445750942918,0.3035698529853436,-0.2174094693116483,-0.1085945141332169,0.38361590817571495,0.44330528934547964,0.01627411115359205,0.12410180105153718,0.10445085453850493,-0.03824595245975359,-6.889439673860746e-05
PLT,-0.0019077398876813333,0.05986823506107655,-0.02831202054534571,-0.0046780211056676735,-0.03253080510812188,0.014148819574068525,0.06513755311869575,-0.06327230796238384,0.015240060568980807,-0.07351548515663812,0.027524894933675177,-0.04342375292814325,0.03365952274196034,0.04846632997112287,0.035191111566995656,0.10707280867706936,0.05096424407701448,0.044731349786943896,-0.022847502423962593,-0.07123549925467691,-0.0019257744050693731,0.30783134567629034,1.0,-0.032883524620457405,0.2206053616436543,0.20681365441882651,0.3398192423883111,-0.11245363079535887,-0.0041101088562799926,0.2929116146250115,0.11304381481526812,-0.22695982517711266,-0.03792405147474057,0.11411644017250663,0.1210729647976476,-0.12987927907755298,-0.06084014347644696,0.021919071957061654,0.10278008275995945,-0.053446133667410176
HGB,-0.006336091477746629,-0.11358885640664888,-0.026447680492999327,-0.0065494506822145636,0.0011482168822388302,0.038563893899145704,-0.03376294929515012,-0.00048634589178759815,0.045893346005112856,0.011218149870864615,-0.02169587840244675,-0.0642406930474227,-0.02453194612227007,0.08245613489738819,-0.024829790926237508,-0.04940929663249231,-0.0011008275093903732,-0.12253709863720301,-0.025267106726533664,-0.039053200236686625,-0.015686792008812817,-0.03257958158568768,-0.032883524620457405,1.0,0.04994405677213762,-0.06104439648612734,-0.015416097306406282,-0.020989458870448504,-0.11974861238944912,-0.10937729924863132,-0.14601892871319225,0.33951062905595486,0.326285644423267,-0.1084845163958849,-0.11249601905405461,-0.09695587767457117,-0.22791324088483567,-0.13293686084307108,0.08467222975859971,-0.01721750521417564
MONO,0.07488697505287838,0.10157285753368074,0.053864308041395595,0.033332562643383724,0.10134606960494426,-0.06546222974053943,-0.02952252801499776,0.10633084381216344,0.05813068666771165,-0.052551585157014476,0.059492029752731566,0.07638713382129973,0.012501785178390958,0.05784727096777043,0.0832923973845131,-0.007891164141759227,0.014236606938756837,-0.030364291708979838,-0.09878412880251068,0.06755273324157587,0.0002751035157247698,0.41696828263525804,0.2206053616436543,0.04994405677213762,1.0,0.35637599831236855,-0.047073668053413946,0.15003583175939184,0.0706887741382021,0.17104797379959213,0.04885471556175676,-0.07395108491655018,-0.031698369040566034,0.21916290431712268,0.19550057478581284,-0.006737689038333285,0.011330651780284251,-0.02835144542363966,-5.671721116209907e-06,0.03799547024410377
NEUT,0.17145421377622913,0.3299762269223567,0.060524566008334266,0.06087455496322326,0.06594942880172006,0.10990461054563942,0.07115358882650027,0.042434248352802524,0.05058838728196645,0.07043382703396757,-0.05624105121980264,0.023912543210643344,-0.026926378419732003,0.2462344578720876,0.07486129430149048,-0.006187910288708279,-0.0632037569839965,-0.011046284590413291,-0.0004383012086837517,0.2552228650741928,0.08204796744494865,0.7991396175657371,0.20681365441882651,-0.06104439648612734,0.35637599831236855,1.0,0.20032394688111982,0.7526841972792788,0.11053352945665573,0.2133452374872275,0.23497400235904742,-0.18287665063605144,-0.09714769485038877,0.4095804413737117,0.47563398534969015,0.024380467068604535,0.1873513364168577,0.1870342580657373,-0.05192672818066114,0.03996594327750865
PLR,0.3568283787220009,0.522976900287916,0.08342277308839566,0.053442459188857795,-0.02560848117807699,0.09380831842341429,0.11264170970284519,-0.03562802918134193,-0.037705554795800914,0.03913796914439361,-0.01923333986524195,0.04837540618225691,0.13324256617835897,0.12110244560828935,0.15072578949469626,0.06148159108318498,0.07193797330648737,0.03156074993925607,-0.010409632868928253,0.2649688101259484,0.09862242229589185,0.19128983377201056,0.3398192423883111,-0.015416097306406282,-0.047073668053413946,0.20032394688111982,1.0,0.5368106904276283,0.245632651151482,0.16957185750978881,0.3107428281100203,-0.3136228939538343,-0.24670117651898552,0.40950338861682567,0.4297811777760641,0.042473022319384886,0.045411014367709765,0.10296279343969529,-0.027829517184267828,0.07110562036077059
NLR,0.28540141924703777,0.472564045361191,0.10923545222821222,0.07961483572903269,0.035792575693348205,0.1287685984633692,0.07989537358100665,0.028544098316101624,0.00837901357455325,0.07959520895300448,-0.06565865394080171,0.0928979194038811,0.05000603959372221,0.22182932663008237,0.06803735174709312,-0.03934141249114156,-0.030673366583845924,-0.01969826445486402,-0.0019175642694095345,0.34408105774972064,0.14236293459318625,0.5261881698295191,-0.11245363079535887,-0.020989458870448504,0.15003583175939184,0.7526841972792788,0.5368106904276283,1.0,0.1950327052543528,0.08609428401974367,0.2691056428009945,-0.18172099557875257,-0.17335931664400342,0.48572568133682115,0.5206759184262234,0.07074217538913456,0.1828234691816643,0.18223988436559552,-0.06573396710753032,0.11790668949373277
RDW,0.4081653872199425,0.5228578315975889,0.008484576096193587,0.08394382495058468,0.06171181656905857,0.035787975278046724,0.0470872693932297,-0.039317175420128705,0.04813708583661093,-0.05637347596314256,0.11515899699444647,0.012172860981643982,0.253983672300387,0.03149096354866121,0.1737759894643851,0.13122241666378417,0.10916788221196567,0.03662906472641164,-0.0032331456408450977,0.25937254695762335,0.08234023629976239,0.1411259445197694,-0.0041101088562799926,-0.11974861238944912,0.0706887741382021,0.11053352945665573,0.245632651151482,0.1950327052543528,1.0,-0.03978073770956566,0.2689188271295758,-0.27026064229717855,-0.2516119922994787,0.30436191288551273,0.3100015566734981,-0.04782608212777911,0.018079032819723388,0.0023987709794318166,0.059685254865757445,0.10995479605884793
FIB,-0.04794416942857573,0.09979813993510367,0.07900196037578096,-0.1216147226024793,0.0012636541707301578,0.11252260618199138,0.12231936270717754,0.04174110125483273,-0.005813140427723406,-0.05137952016679413,-0.003714152500994226,0.06226025795417831,0.06534133342171475,0.07062634596162588,0.05178241881257783,-0.020040398053066438,-0.05343951761954736,-0.07672792084949799,0.04563959795240085,0.06900521711075847,-0.032393838865903225,0.2857445750942918,0.2929116146250115,-0.10937729924863132,0.17104797379959213,0.2133452374872275,0.16957185750978881,0.08609428401974367,-0.03978073770956566,1.0,0.08897021386917922,-0.2987835626009817,-0.16233336614266136,0.34516057099931374,0.33808763976664147,0.11152038943013454,0.23136621769497812,0.1867484099742638,-0.08138052733953181,-0.15640363541585772
DDimer,0.3973240280295693,0.5432250060639081,0.05521880283468576,0.10430588192982175,0.11711180347399966,0.09586329903548443,0.11888130966437671,-0.006598094668020557,0.04697705473370933,0.1808200903299626,-0.014724148381418521,0.08574655045521455,0.16546580155389487,0.06757651297436539,0.2017800455404446,0.14346381857545418,0.03019336637991397,0.24150555324138825,0.028326496163756387,0.25590839230336765,0.0925058719384608,0.3035698529853436,0.11304381481526812,-0.14601892871319225,0.04885471556175676,0.23497400235904742,0.3107428281100203,0.2691056428009945,0.2689188271295758,0.08897021386917922,1.0,-0.33231371371868607,-0.4214495841149218,0.4115590865514954,0.4466791974111363,-0.023401668917483194,0.08459298418874706,0.13379075538642052,-0.001561430531929957,-0.03496427436779555
AG,-0.17397607167073098,-0.34795343170014,-0.06964112156384795,0.001606597626645123,-0.09084842088412118,-0.0846952097045475,-0.10369880852758391,0.00645975320666613,-0.03236829752285016,-0.07564762021423885,-0.0669277796926083,-0.09138128945319939,-0.18247181447795457,-0.12232765653440875,-0.12057012347625086,-0.09532918519396283,0.013137672289533376,0.03200038402603972,0.021370021661441377,-0.18261513537391066,-0.020979005488521885,-0.2174094693116483,-0.22695982517711266,0.33951062905595486,-0.07395108491655018,-0.18287665063605144,-0.3136228939538343,-0.18172099557875257,-0.27026064229717855,-0.2987835626009817,-0.33231371371868607,1.0,0.6885106369054194,-0.38423318382799715,-0.28927376066034016,0.10132513433197857,0.011252680100976449,-0.06466748130716492,-0.10793282947750318,-0.04718724443882157
ALB,-0.20578087270706333,-0.3944360916835555,-0.09284517790052534,0.007816538391776809,-0.03295032858458008,-0.021940546103260822,-0.1001768257024712,0.07882857911912061,0.009321938725885943,-0.10972162540081135,-0.027988689340321973,-0.1322261136359626,-0.17069893221487203,-0.04829281726987312,-0.0820219799342598,-0.08850670226883607,0.016712683555706515,-0.13631399739608996,-0.03802372717131016,-0.1801594661179852,-0.11251831397998295,-0.1085945141332169,-0.03792405147474057,0.326285644423267,-0.031698369040566034,-0.09714769485038877,-0.24670117651898552,-0.17335931664400342,-0.2516119922994787,-0.16233336614266136,-0.4214495841149218,0.6885106369054194,1.0,-0.31490675872929164,-0.27936054818744455,0.04124305520079382,-0.10607435102154913,-0.13185548306615602,-0.07411118773997391,-0.012554276557504703
hsCRP,0.310804231904651,0.5563786244452723,0.10236651611602547,0.004796474815745088,0.03559741961188306,0.1840293842505721,0.058470837421824844,0.007986835465312137,0.005603496173926601,-0.006303154375077975,0.005173134544966535,0.1522213260248255,0.13254878972723103,0.23777425863486298,0.22311289787644362,0.07669630715282368,-0.06265379098846736,0.04032180748995309,0.05517136711399348,0.4300907290218089,0.133423001665891,0.38361590817571495,0.11411644017250663,-0.1084845163958849,0.21916290431712268,0.4095804413737117,0.40950338861682567,0.48572568133682115,0.30436191288551273,0.34516057099931374,0.4115590865514954,-0.38423318382799715,-0.31490675872929164,1.0,0.8264831105734894,0.06890411854698222,0.12017929367541952,0.12862048131356468,-0.06614568876244123,0.08351018453290907
PCT,0.4102338577140474,0.6587689762463281,0.11522387630598219,0.10084724741156424,0.06635732386987378,0.13682094951930024,0.07610005553267508,0.008403758616148461,0.03608326482832764,0.010481099211485713,0.023611331080950454,0.10647819419799015,0.10460994931411767,0.16703918070743487,0.20204452366619421,0.04768806409104037,0.004470474638807673,0.05942315741206799,0.004273563678955363,0.422428936502396,0.08830906824967771,0.44330528934547964,0.1210729647976476,-0.11249601905405461,0.19550057478581284,0.47563398534969015,0.4297811777760641,0.5206759184262234,0.3100015566734981,0.33808763976664147,0.4466791974111363,-0.28927376066034016,-0.27936054818744455,0.8264831105734894,1.0,0.09008370897428879,0.17816160504029524,0.15684792776649062,-0.09895962967241721,0.11198266552950241
Cr,-0.11179309695979137,0.05534013231236111,0.02857111646855597,-0.3008661360042849,-0.20047676463654243,0.11180203125735286,0.11364586593133442,-0.02514124451978916,-0.19209052038385016,-0.022354277405326337,-0.08356627049111065,-0.042871623120302196,0.05721893593378958,0.027743291403052428,0.02374972011105895,0.025376278488177178,-0.05123733747618376,-0.047831275581379805,0.07352551835380472,-0.021774186183721022,0.09119558321264384,0.01627411115359205,-0.12987927907755298,-0.09695587767457117,-0.006737689038333285,0.024380467068604535,0.042473022319384886,0.07074217538913456,-0.04782608212777911,0.11152038943013454,-0.023401668917483194,0.10132513433197857,0.04124305520079382,0.06890411854698222,0.09008370897428879,1.0,0.5171509706858697,0.19567180721222546,-0.8825102164697957,0.25265886462718357
BUN,-0.014729748895725548,0.10569799627362961,0.05084599471954197,-0.12083978755227763,-0.17915202953429238,0.039267216351432585,0.08942776186549298,-0.03292030576297397,-0.12432676628532557,-0.0993132991108716,-0.0982915075279222,-0.10794534909203499,0.017203368625119855,0.026880363853827777,-0.10182445925719023,-0.05427322366183095,-0.0546770061728073,0.0722106622434562,0.03429787628849198,0.04043845566072258,0.07881742021891468,0.12410180105153718,-0.06084014347644696,-0.22791324088483567,0.011330651780284251,0.1873513364168577,0.045411014367709765,0.1828234691816643,0.018079032819723388,0.23136621769497812,0.08459298418874706,0.011252680100976449,-0.10607435102154913,0.12017929367541952,0.17816160504029524,0.5171509706858697,1.0,0.426654844943169,-0.4697760480977529,0.2407573329439293
UA,0.038152181797024745,0.09882202751086924,0.0583914577841667,-0.0501914337156241,-0.04552062291635023,0.07279205273611432,0.12217333702327769,-0.06486742695636286,-0.03990553808867416,0.03767259263623865,-0.030840046337447233,-0.024646686909582716,-0.07570450959129907,-0.011396663604340013,0.008496409924966208,-0.037752320190881,-0.03548800424792358,0.00282961940631108,0.010902855327193253,0.031106094418843093,0.07283293895068038,0.10445085453850493,0.021919071957061654,-0.13293686084307108,-0.02835144542363966,0.1870342580657373,0.10296279343969529,0.18223988436559552,0.0023987709794318166,0.1867484099742638,0.13379075538642052,-0.06466748130716492,-0.13185548306615602,0.12862048131356468,0.15684792776649062,0.19567180721222546,0.426654844943169,1.0,-0.16443392109909608,-0.05891978203286073
GFR,0.02308859331626642,-0.0591782651152615,0.21436086454204392,0.0729462591858444,0.1820195621682504,-0.006920327343287088,-0.027085764606894772,-0.014654111699247668,0.18119722644994107,0.05819425864543575,0.0704342399954816,0.052473258860071925,0.01666877718341008,0.011108798650867363,0.03405232470976825,-0.06568294373125512,0.055982659582392576,0.02541199781385342,-0.03763926698373299,-0.03779366514711385,-0.11760484998266746,-0.03824595245975359,0.10278008275995945,0.08467222975859971,-5.671721116209907e-06,-0.05192672818066114,-0.027829517184267828,-0.06573396710753032,0.059685254865757445,-0.08138052733953181,-0.001561430531929957,-0.10793282947750318,-0.07411118773997391,-0.06614568876244123,-0.09895962967241721,-0.8825102164697957,-0.4697760480977529,-0.16443392109909608,1.0,-0.258319209716878
Cysc,0.12950151252494568,0.09842153597026092,-0.006765534788751405,-0.0033504968858709024,-0.1446194436199518,-0.15353053642164677,-0.12833643088245478,0.03576756232489242,-0.17790004792295655,-0.027338428139777687,-0.044701725140878154,0.08250262561957826,0.074956947026131,0.12006852113131132,-0.155679145165646,0.001021872768282108,0.10839029699736276,-0.10431556457427003,-0.0027394255095184463,0.01389412967514248,0.10790886801323742,-6.889439673860746e-05,-0.053446133667410176,-0.01721750521417564,0.03799547024410377,0.03996594327750865,0.07110562036077059,0.11790668949373277,0.10995479605884793,-0.15640363541585772,-0.03496427436779555,-0.04718724443882157,-0.012554276557504703,0.08351018453290907,0.11198266552950241,0.25265886462718357,0.2407573329439293,-0.05891978203286073,-0.258319209716878,1.0
